index,stadium_name,lon,lat,attendance
0,Ceres Park,56.1327356,10.196762,9364
1,Energi Viborg Arena,56.4559039,9.40202035,4771
2,EWII Park ,55.397745,10.35022493,7114
3,Br¿ndby Stadion,55.6503299,12.4170778,18770
4,Aalborg Portland Park,57.05203525,9.898599342,7062
5,Blue Water Arena,55.48194305,8.438397123,7594
6,Right to Dream Park,55.81619865,12.35303259,5067
7,Harboe Arena Slagelse,55.40040215,11.36431815,3859
8,BioNutria Park Randers,56.46607165,10.01015413,4852
9,Sydbank Park,55.2613291,9.4877072,5700
10,MCH Arena,56.1169164,8.951716477,8759
11,Blue Water Arena,55.48194305,8.438397123,9517
12,MCH Arena,56.1169164,8.951716477,5145
13,Ceres Park,56.1327356,10.196762,6997
14,EWII Park ,55.397745,10.35022493,7889
15,Telia Parken,55.70270425,12.57226378,12956
16,Br¿ndby Stadion,55.6503299,12.4170778,14771
17,Harboe Arena Slagelse,55.40040215,11.36431815,1688
18,Energi Viborg Arena,56.4559039,9.40202035,9047
19,Blue Water Arena,55.48194305,8.438397123,8012
20,BioNutria Park Randers,56.46607165,10.01015413,5064
21,Aalborg Portland Park,57.05203525,9.898599342,6369
22,Right to Dream Park,55.81619865,12.35303259,7769
23,Sydbank Park,55.2613291,9.4877072,2739
24,MCH Arena,56.1169164,8.951716477,10745
25,Right to Dream Park,55.81619865,12.35303259,4013
26,Harboe Arena Slagelse,55.40040215,11.36431815,4434
27,Sydbank Park,55.2613291,9.4877072,2654
28,Telia Parken,55.70270425,12.57226378,13316
29,BioNutria Park Randers,56.46607165,10.01015413,3850
30,Ceres Park,56.1327356,10.196762,8925
31,EWII Park ,55.397745,10.35022493,7716
32,Energi Viborg Arena,56.4559039,9.40202035,5156
33,Telia Parken,55.70270425,12.57226378,18778
34,Br¿ndby Stadion,55.6503299,12.4170778,16086
35,Aalborg Portland Park,57.05203525,9.898599342,7392
36,EWII Park ,55.397745,10.35022493,8069
37,Right to Dream Park,55.81619865,12.35303259,4159
38,Blue Water Arena,55.48194305,8.438397123,8568
39,Energi Viborg Arena,56.4559039,9.40202035,8212
40,Aalborg Portland Park,57.05203525,9.898599342,8566
41,BioNutria Park Randers,56.46607165,10.01015413,4015
42,Sydbank Park,55.2613291,9.4877072,3123
43,Telia Parken,55.70270425,12.57226378,20697
44,Ceres Park,56.1327356,10.196762,9625
45,Harboe Arena Slagelse,55.40040215,11.36431815,4181
46,Br¿ndby Stadion,55.6503299,12.4170778,12487
47,MCH Arena,56.1169164,8.951716477,6290
48,BioNutria Park Randers,56.46607165,10.01015413,5690
49,MCH Arena,56.1169164,8.951716477,9195
50,Sydbank Park,55.2613291,9.4877072,2871
51,Ceres Park,56.1327356,10.196762,14488
52,Telia Parken,55.70270425,12.57226378,11008
53,Harboe Arena Slagelse,55.40040215,11.36431815,5285
54,Energi Viborg Arena,56.4559039,9.40202035,4532
55,Br¿ndby Stadion,55.6503299,12.4170778,21798
56,Blue Water Arena,55.48194305,8.438397123,7741
57,Aalborg Portland Park,57.05203525,9.898599342,7447
58,EWII Park ,55.397745,10.35022493,8633
59,Right to Dream Park,55.81619865,12.35303259,4417
60,BioNutria Park Randers,56.46607165,10.01015413,7025
61,Blue Water Arena,55.48194305,8.438397123,6967
62,Aalborg Portland Park,57.05203525,9.898599342,6872
63,Telia Parken,55.70270425,12.57226378,12258
64,Right to Dream Park,55.81619865,12.35303259,9726
